"# Referenced from Sreedhar B, Kawajiri Y, Multi-column chromatographic process development using simulated moving bed superstructure and simultaneous optimization - Model correction framework, Chemical Engineering Science, 2014;116,428-441",Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15
FeedA,175,175,,,,,,,,,,,,,
FeedB,175,175,,,,,,,,,,,,,
RaffinateA,59.66,87.9,,,,,,,,,,,,,
RaffinateB,17.96,9.42,,,,,,,,,,,,,
ExtractA,20.23,5.32,,,,,,,,,,,,,
ExtractB,36.21,48.44,,,,,,,,,,,,,
