,Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30
IC,0.001119935,0.000834317,0.001084897,0.000845159,0.001026816,0.000848664,0.000995718,0.001184986,0.000959874,0.000897281,0.000980188,0.000938525,0.00100363,0.001199815,0.001180726,0.000872826,0.001085362,0.001056857,0.001118421,0.000910086,0.000921259,0.000906558,0.001190028,0.000933248,0.001040662,0.001129314,0.001149938,0.001138319,0.001157631,0.001156124
Raff,0.00066177,0.000758685,0.000630032,0.000902131,0.000832387,0.000579132,0.000927632,0.00064201,0.000697447,0.000753392,0.000530175,0.000812249,0.000735517,0.000869594,0.000925537,0.000783527,0.000915388,0.000534265,0.000923725,0.000772175,0.000786677,0.000836809,0.000643572,0.000925422,0.000579275,0.000768455,0.000930831,0.000893683,0.00081611,0.000684673
FeedRaff,0.002377845,0.002390771,0.002360449,0.002380664,0.002350244,0.002352755,0.002365417,0.002364305,0.002395519,0.002388962,0.002370288,0.002359941,0.002393802,0.002383353,0.002361915,0.0023801,0.002388324,0.00238789,0.002378294,0.002355126,0.002363641,0.002362668,0.002373902,0.002354132,0.002392312,0.00238414,0.002384029,0.002391118,0.002361409,0.002399778
Ext,0.001328948,0.001046534,0.00145161,0.00121616,0.001494415,0.001433967,0.001097081,0.001379687,0.001490837,0.001414764,0.001203213,0.001358633,0.001056171,0.001460235,0.001385419,0.001030862,0.001239429,0.001373013,0.001142851,0.001472899,0.001112128,0.001125611,0.001155912,0.001010662,0.001205772,0.0013436,0.001023411,0.001301458,0.001104659,0.001404999
