,Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,Data21,Data22,Data23,Data24,Data25,Data26,Data27,Data28,Data29,Data30
FeedA,210.7107694,215.2472985,224.642502,209.529774,208.2186251,220.6711318,220.1021071,218.8429198,201.551168,213.1573133,213.3963258,215.6986608,207.221956,200.9546435,219.0182146,220.2746274,223.6755207,223.1293423,221.0592936,222.957728,202.2703254,220.7938094,224.0005631,215.3557725,220.8552553,228.8622877,214.5438122,214.7145661,210.7439985,222.217468
FeedB,215.1497898,206.6595814,221.3034909,221.7578279,226.8200529,224.9503062,215.5309314,227.3840933,226.702767,202.8310258,207.6500947,209.3306621,209.1370294,204.9539355,203.1621111,203.1847142,216.6251142,204.43559,222.4975646,207.5245732,223.4768603,218.7552399,227.9008812,219.5001134,203.1583316,202.6901367,228.9393722,212.7507262,208.0371503,228.1194825
RaffinateA,14.69558756,14.327847,20.16949556,14.07898099,15.16529483,15.98788693,15.55215301,8.933420908,9.382456348,14.0045281,14.79032022,16.86374901,7.689362098,16.22537942,16.58361709,12.6972827,9.637950945,9.523965521,19.2356707,17.61925054,15.58277103,14.3089546,15.84358397,11.12099006,16.01527446,18.13004768,9.317783229,17.75784713,13.94891043,18.11082517
RaffinateB,144.4032371,134.1744101,162.2978226,149.1341675,158.1447384,155.9863922,148.8717081,146.6977786,152.1131541,142.6835662,140.8113767,146.9499558,134.5904321,145.1818444,133.1648374,132.7103983,140.1894141,133.9996247,152.667901,144.0966793,153.0023483,155.3792946,151.4694739,139.0206151,143.7481221,140.3705886,151.4641333,136.1086295,140.7760078,161.9127883
ExtractA,307.5828735,315.7397248,327.9351686,300.7963508,304.1549025,308.1898018,306.4502451,248.03445,246.0614335,278.1951677,305.4297079,241.2727841,234.8887441,288.5117458,325.5241566,284.7245995,257.8369295,269.8598323,339.6628915,339.4308531,305.4718738,277.7874683,316.169928,288.080361,285.7914973,325.2706054,242.308639,331.6771977,289.8094421,300.1641014
ExtractB,18.49667992,29.35690525,24.32518604,34.73956487,23.87335987,25.1910761,27.06305826,23.68510685,21.36521803,27.26345093,23.74718038,13.52276171,17.50678086,18.51992504,23.6978839,14.78434504,12.72700474,14.95708972,15.50079867,18.51529924,19.78835795,19.71293649,33.29379835,28.39634156,17.38679116,20.98251963,16.83414734,16.18741795,12.91599663,20.68886491
