"# Referenced from Sreedhar B, Kawajiri Y, Multi-column chromatographic process development using simulated moving bed superstructure and simultaneous optimization - Model correction framework, Chemical Engineering Science, 2014;116,428-441",Data01,Data02,Data03,Data04,Data05,Data06,Data07,Data08,Data09,Data10,Data11,Data12,Data13,Data14,Data15
Desorbent,0.001075278,0.000254722,,,,,,,,,,,,,
Feed,0.000245,6.61E-05,,,,,,,,,,,,,
Extract,0.0009525,0.0002075,,,,,,,,,,,,,
Recycle,0.0005,0.00015,,,,,,,,,,,,,
